field_name,field_type,description,source,collection_frequency,data_quality_notes,validation_rules,possible_values,clinical_significance,reporting_requirements
event_id,character,Unique identifier for each consultation event,DHIS2 System,Per consultation,System generated - should be unique,Must be non-null and unique,System generated UUID,Used for deduplication and data integrity,Required for all records
orgunit,character,Name of the health facility where consultation occurred,DHIS2 Org Unit Registry,Static (updated when facilities change),Critical for geographic analysis - validate against org unit list,Must match registered facility names,PHC facilities hospitals mobile clinics,Primary geographic identifier for service mapping,Required - no missing values allowed
orgunit_code,character,Standardized code for the health facility,DHIS2 Org Unit Registry,Static,Used for system integration and reporting,Must match DHIS2 org unit codes,Alphanumeric facility codes,Enables facility-level performance tracking,System field - auto-populated
datevisitnew,date,Date when the patient consultation took place,Clinical staff entry,Per consultation,High importance for temporal analysis - validate date ranges,Must be within reasonable date range (not future not too far past),YYYY-MM-DD format,Essential for trend analysis and outbreak detection,Required - critical for surveillance
datevisit,character,Original date field before processing,Raw DHIS2 data,Per consultation,May contain various formats - processed into datevisitnew,Original format validation needed,Various date formats,Used for data quality checking,Processing field
sex,factor,Patient's biological sex,Clinical assessment,Per consultation,Important for demographic analysis - some missing values expected,Must be Male or Female or missing,Male Female,Critical for age-sex specific disease patterns,Standard demographic requirement
age_group_new,factor,Standardized age grouping for analysis,Derived from age at consultation,Per consultation,Processed from multiple age group variables for consistency,Must be valid age group category,0-5 y 6-17 y 18-30 y 31-59 y 60+ y,Key for age-specific disease surveillance,Required for epidemiological analysis
age_group,factor,Original age group classification,Clinical entry,Per consultation,May vary by facility - standardized in age_group_new,Must be recognizable age category,Various age group formats,Used for age-stratified analysis,Legacy field - use age_group_new
resident,factor,Patient's displacement/residence status,Patient interview,Per consultation,Critical for humanitarian response - may be incomplete,Must be valid resident category,Local resident IDP Refugee,Essential for targeting displaced populations,Important for humanitarian reporting
morbidity,character,Primary health condition/diagnosis,Clinical diagnosis,Per consultation,Core clinical field - quality varies by clinician training,Must be valid condition name,Extensive list of health conditions,Primary disease classification for surveillance,Required - core epidemiological data
morbidity_category,factor,Grouped disease categories for analysis,Derived from morbidity field,Computed,Processed grouping of detailed conditions into surveillance categories,Must be valid category,See disease category mapping in preprocessing,Used for disease burden analysis,Computed field for reporting
disease_cat,character,Alternative disease categorization,Clinical entry or computed,Variable,May differ from morbidity_category - facility specific,Context dependent,Cardiovascular Respiratory Digestive etc,Facility-specific disease grouping,Optional additional classification
type_case,factor,Classification of case as trauma or non-trauma,Clinical assessment,Per consultation,Important for emergency care planning and resource allocation,Must be Trauma or Non-trauma,Trauma Non-trauma,Critical for surgical capacity planning,Required for trauma surveillance
